id,age_min,age_max,raw_min,raw_max,standard,rank
bf1,6,7,3,3,4,2
bf1,6,7,0,2,3,2

bf1,7,8,10,inf,17,0
bf1,7,8,9,9,15,0
bf1,7,8,8,8,11,0
bf1,7,8,6,7,10,0
bf1,7,8,5,5,9,0
bf1,7,8,4,4,8,0
bf1,7,8,2,3,7,0
bf1,7,8,1,1,6,1
bf1,7,8,0,0,5,2

bf1,8,9,10,inf,15,0
bf1,8,9,9,9,12,0
bf1,8,9,8,8,10,0
bf1,8,9,7,7,9,0
bf1,8,9,6,6,8,0
bf1,8,9,4,5,7,0
bf1,8,9,3,3,6,1
bf1,8,9,1,2,5,2
bf1,8,9,0,0,4,2

bf1,9,10,10,inf,15,0
bf1,9,10,9,9,12,0
bf1,9,10,6,8,10,0
bf1,9,10,2,5,9,0
bf1,9,10,1,1,8,0
bf1,9,10,0,0,5,2

bf1,10,11,10,inf,14,0
bf1,10,11,9,9,12,0
bf1,10,11,7,8,9,0
bf1,10,11,5,6,8,0
bf1,10,11,3,4,7,0
bf1,10,11,1,2,6,1
bf1,10,11,0,0,5,2

bf11,11,12,10,inf,14,0
bf11,11,12,8,9,11,0
bf11,11,12,7,7,10,0
bf11,11,12,6,6,8,0
bf11,11,12,4,5,7,0
bf11,11,12,2,3,6,1
bf11,11,12,1,1,5,2
bf11,11,12,0,0,4,2

bf11,12,13,10,inf,14,0
bf11,12,13,9,9,11,0
bf11,12,13,8,8,9,0
bf11,12,13,7,7,8,0
bf11,12,13,5,6,7,0
bf11,12,13,3,4,6,1
bf11,12,13,1,2,5,2
bf11,12,13,0,0,4,2

bf11,13,14,10,inf,13,0
bf11,13,14,9,9,11,0
bf11,13,14,8,8,9,0
bf11,13,14,7,7,8,0
bf11,13,14,6,6,7,0
bf11,13,14,4,5,6,1
bf11,13,14,1,3,5,2
bf11,13,14,0,0,4,2

bf11,14,15,10,inf,13,0
bf11,14,15,9,9,9,0
bf11,14,15,7,8,8,0
bf11,14,15,6,6,7,0
bf11,14,15,4,5,6,1
bf11,14,15,2,3,4,2
