id,age_min_y,age_min_m,age_max_y,age_max_m,raw_min,raw_max,scaled,percentile
fc,5,3,5,5,35,36,13,84
fc,5,3,5,5,37,37,14,91
fc,5,3,5,5,38,39,15,95
fc,5,3,5,5,40,41,16,98
fc,5,3,5,5,42,42,17,99
fc,5,3,5,5,43,44,18,100
fc,5,3,5,5,45,45,19,100
fc,5,3,5,5,46,inf,20,100

eh,5,6,5,8,0,61,1,0
eh,5,6,5,8,62,72,2,0
eh,5,6,5,8,73,84,3,1
eh,5,6,5,8,85,94,4,2
eh,5,6,5,8,95,104,5,5
eh,5,6,5,8,105,113,6,9
eh,5,6,5,8,114,123,7,16
eh,5,6,5,8,124,134,8,25
eh,5,6,5,8,135,144,9,37
eh,5,6,5,8,145,153,10,50
eh,5,6,5,8,154,161,11,63
eh,5,6,5,8,162,169,12,75
eh,5,6,5,8,170,176,13,84
eh,5,6,5,8,177,181,14,91
eh,5,6,5,8,182,188,15,95
eh,5,6,5,8,189,189,16,98
eh,5,6,5,8,190,190,17,99
eh,5,6,5,8,191,191,18,100
eh,5,6,5,8,192,inf,19,100

co,5,6,5,8,0,3,1,0
co,5,6,5,8,4,4,2,0
co,5,6,5,8,5,5,3,1
co,5,6,5,8,6,7,4,2
co,5,6,5,8,8,8,5,5
co,5,6,5,8,9,10,6,9
co,5,6,5,8,11,11,7,16
co,5,6,5,8,12,13,8,25
co,5,6,5,8,14,15,9,37
co,5,6,5,8,16,17,10,50
co,5,6,5,8,18,19,11,63
co,5,6,5,8,20,21,12,75
co,5,6,5,8,22,22,13,84
co,5,6,5,8,23,24,14,91
co,5,6,5,8,25,26,15,95
co,5,6,5,8,27,28,16,98
co,5,6,5,8,29,29,17,99
co,5,6,5,8,30,31,18,100
co,5,6,5,8,32,32,19,100
co,5,6,5,8,33,inf,20,100

fg,5,6,5,8,0,2,1,0
fg,5,6,5,8,3,7,2,0
fg,5,6,5,8,8,11,3,1
fg,5,6,5,8,12,16,4,2
fg,5,6,5,8,17,20,5,5
fg,5,6,5,8,21,24,6,9
fg,5,6,5,8,25,29,7,16
fg,5,6,5,8,30,33,8,25
fg,5,6,5,8,34,37,9,37
fg,5,6,5,8,38,39,10,50
fg,5,6,5,8,40,44,11,63
fg,5,6,5,8,45,48,12,75
fg,5,6,5,8,49,51,13,84
fg,5,6,5,8,52,54,14,91
fg,5,6,5,8,55,58,15,95
fg,5,6,5,8,59,60,16,98
fg,5,6,5,8,61,63,17,99
fg,5,6,5,8,64,65,18,100
fg,5,6,5,8,66,67,19,100
fg,5,6,5,8,68,inf,20,100

vc,5,6,5,8,0,1,2,0
vc,5,6,5,8,2,2,3,1
vc,5,6,5,8,3,3,4,2
vc,5,6,5,8,4,4,5,5
vc,5,6,5,8,5,5,6,9
vc,5,6,5,8,6,6,7,16
vc,5,6,5,8,7,7,8,25
vc,5,6,5,8,8,8,9,37
vc,5,6,5,8,9,9,10,50
vc,5,6,5,8,10,11,11,63
vc,5,6,5,8,12,12,12,75
vc,5,6,5,8,13,13,13,84
vc,5,6,5,8,14,14,14,91
vc,5,6,5,8,15,15,15,95
vc,5,6,5,8,16,16,16,98
vc,5,6,5,8,17,17,17,99
vc,5,6,5,8,18,18,18,100
vc,5,6,5,8,19,19,19,100
vc,5,6,5,8,20,inf,20,100

fc,5,6,5,8,0,12,1,0
fc,5,6,5,8,13,14,2,0
fc,5,6,5,8,15,17,3,1
fc,5,6,5,8,18,19,4,2
fc,5,6,5,8,20,21,5,5
fc,5,6,5,8,22,23,6,9
fc,5,6,5,8,24,25,7,16
fc,5,6,5,8,26,27,8,25
fc,5,6,5,8,28,29,9,37
fc,5,6,5,8,30,31,10,50
fc,5,6,5,8,32,33,11,63
fc,5,6,5,8,34,35,12,75
fc,5,6,5,8,36,37,13,84
fc,5,6,5,8,38,38,14,91
fc,5,6,5,8,39,40,15,95
fc,5,6,5,8,41,42,16,98
fc,5,6,5,8,43,44,17,99
fc,5,6,5,8,45,45,18,100
fc,5,6,5,8,46,47,19,100
fc,5,6,5,8,48,inf,20,100

eh,5,9,5,11,0,67,1,0
eh,5,9,5,11,68,80,2,0
eh,5,9,5,11,81,91,3,1
eh,5,9,5,11,92,102,4,2
eh,5,9,5,11,103,111,5,5
eh,5,9,5,11,112,121,6,9
eh,5,9,5,11,122,130,7,16
eh,5,9,5,11,131,140,8,25
eh,5,9,5,11,141,150,9,37
eh,5,9,5,11,151,159,10,50
eh,5,9,5,11,160,167,11,63
eh,5,9,5,11,168,175,12,75
eh,5,9,5,11,176,181,13,84
eh,5,9,5,11,182,187,14,91
eh,5,9,5,11,188,188,15,95
eh,5,9,5,11,189,189,16,98
eh,5,9,5,11,190,190,17,99
eh,5,9,5,11,191,191,18,100
eh,5,9,5,11,192,inf,19,100

co,5,9,5,11,0,4,1,0
co,5,9,5,11,5,5,2,0
co,5,9,5,11,6,6,3,1
co,5,9,5,11,7,8,4,2
co,5,9,5,11,9,9,5,5
co,5,9,5,11,10,11,6,9
co,5,9,5,11,12,13,7,16
co,5,9,5,11,14,15,8,25
co,5,9,5,11,16,16,9,37
co,5,9,5,11,17,18,10,50
co,5,9,5,11,19,20,11,63
co,5,9,5,11,21,22,12,75
co,5,9,5,11,23,24,13,84
co,5,9,5,11,25,26,14,91
co,5,9,5,11,27,28,15,95
co,5,9,5,11,29,29,16,98
co,5,9,5,11,30,31,17,99
co,5,9,5,11,32,32,18,100
co,5,9,5,11,33,33,19,100
co,5,9,5,11,34,inf,20,100

fg,5,9,5,11,0,3,1,0
fg,5,9,5,11,4,8,2,0
fg,5,9,5,11,9,12,3,1
fg,5,9,5,11,13,17,4,2
fg,5,9,5,11,18,21,5,5
fg,5,9,5,11,22,26,6,9
fg,5,9,5,11,27,30,7,16
fg,5,9,5,11,31,34,8,25
fg,5,9,5,11,35,38,9,37
fg,5,9,5,11,39,42,10,50
fg,5,9,5,11,43,46,11,63
fg,5,9,5,11,47,49,12,75
fg,5,9,5,11,50,53,13,84
fg,5,9,5,11,54,56,14,91
fg,5,9,5,11,57,59,15,95
fg,5,9,5,11,60,61,16,98
fg,5,9,5,11,62,63,17,99
fg,5,9,5,11,64,65,18,100
fg,5,9,5,11,66,67,19,100
fg,5,9,5,11,68,inf,20,100

